Species,color
ACRU,dodgerblue4
ACSA,deepskyblue2
BEAL,goldenrod3
CACO,green2
CAOV,green3
CATE,green1
JUVI,indianred4
LITU,darkorange3
PCRU,darkolivegreen
PIST,salmon
QUAL,deeppink3
QURU,deeppink2
QUVE,deeppink4
THOC,greenyellow
TSCA,darkseagreen3
